latitude,longitude,time,speed,acceleration
35.89515438612269,139.63925668258145,2023-11-23 04:27:06,84,0.0
35.89430297325879,139.63685687915273,2023-11-23 04:27:16,84,0.0
35.89343051300364,139.63446840329217,2023-11-23 04:27:26,84,0.0
35.894992409426465,139.61625587188914,2023-11-23 04:29:04,75,-3.0
35.893940640594735,139.6144900361729,2023-11-23 04:29:14,64,-2.0
35.89245845758751,139.6136298444516,2023-11-23 04:29:24,73,2.0
35.89056444480716,139.61328442841756,2023-11-23 04:29:34,75,-1.0
35.888787495234475,139.61378018386017,2023-11-23 04:29:44,77,1.0
35.886835064278415,139.6145465633451,2023-11-23 04:29:54,82,-1.0
35.884801116442176,139.61532082136662,2023-11-23 04:30:04,87,0.0
35.882598445790705,139.616239173329,2023-11-23 04:30:14,95,0.0
